City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
318,Necochea,AR,-38.5473,-58.7368,69.04,95,100,11.34,overcast clouds
319,Ahipara,NZ,-35.1667,173.1667,71.1,65,99,7.18,overcast clouds
320,Kemin,KG,42.7846,75.6892,24.4,80,100,2.35,overcast clouds
321,Aurdal,NO,60.9242,9.4159,26.96,98,100,5.44,overcast clouds
322,Bambous Virieux,MU,-20.3428,57.7575,81.21,75,61,6.91,broken clouds
323,Haines Junction,CA,60.7522,-137.5108,28.42,96,64,5.06,broken clouds
324,Salto,UY,-31.3833,-57.9667,90.25,38,74,3.49,broken clouds
325,Spearfish,US,44.4908,-103.8594,43.88,61,100,8.99,overcast clouds
326,Hailar,CN,49.2,119.7,-5.44,96,98,3.67,overcast clouds
327,Altea,ES,38.5989,-0.0514,50.92,75,57,4.27,broken clouds
328,Kungurtug,RU,50.5994,97.5228,5.72,94,100,1.72,overcast clouds
329,Balad,IQ,34.0164,44.1453,39.06,53,0,5.08,clear sky
330,Dong Hoi,VN,17.4833,106.6,73.56,83,92,0.74,overcast clouds
331,Tautira,PF,-17.7333,-149.15,82.42,75,74,15.46,broken clouds
332,Partizanskoye,RU,55.5006,94.39,-3.84,95,100,2.82,overcast clouds
333,Ndjole,GA,-0.1783,10.7649,74.62,96,100,1.23,overcast clouds
334,Birao,CF,10.2849,22.7882,63.7,22,99,5.82,overcast clouds
335,Vao,NC,-22.6667,167.4833,76.71,82,33,14.18,scattered clouds
336,Rajula,IN,21.05,71.4333,59.59,61,3,6.82,clear sky
337,Komsomolskiy,UZ,40.4272,71.7189,35.02,86,75,0.0,mist
338,Tura,IN,25.5198,90.2201,65.97,48,67,1.81,broken clouds
339,Guntur,IN,16.3,80.45,75.09,86,31,8.25,scattered clouds
340,Alofi,NU,-19.0595,-169.9187,81.5,76,50,12.73,scattered clouds
341,Puerto Madryn,AR,-42.7692,-65.0385,68.29,37,2,19.3,clear sky
342,Poronaysk,RU,49.2167,143.1167,11.21,73,7,1.32,clear sky
343,Luwingu,ZM,-10.2621,29.9271,60.22,98,100,2.68,light rain
344,Trinidad,BO,-14.8333,-64.9,72.23,98,83,3.87,broken clouds
